seg_link,loc,loc_name,loc_zn,loc_seg,design,operating,tsq,oac,it,flow_ind,all_qty
View,44337,SABPL/KMLP CALCA,01,120,443017,443017,0,443017,N,BD,Y
View,44378,FGT/KMLP ACADIA,01,150,503356,503356,0,503356,N,D,Y
View,44389,TRUNKLNE/KMLP JE,01,130,1711476,1711476,0,1711476,N,D,Y
View,44392,TEX GAS/KMLP ACA,01,150,641580,641580,0,641580,N,BD,Y
View,44395,ANR/KMLP ACADIA,01,150,577320,577320,0,577320,N,BD,Y
View,44396,TET/KMLP EVANGEL,01,160,456960,456960,0,456960,N,BD,Y
View,44397,TRNSCO/KMLP EVAN,01,170,951161,951161,0,951161,N,D,Y
View,44398,COL GULF/KMLP EV,01,180,1530000,1530000,0,1530000,N,BD,Y
View,44403,EGAN HUB/KMLP AC,01,140,779533,779533,0,779533,N,BD,Y
View,44404,PINE PRA/KMLP AC,01,150,530400,530400,0,530400,N,BD,Y
View,44405,NGPL/KMLP,02,210,1697567,1697567,0,1697567,N,BD,Y
View,44411,BRIDGHOL/KMLP JOHNSONS BAYOU,02,220,200000,200000,0,200000,N,D,Y
View,45093,TARGA/KMLP TFS CALCASIEU,01,120,100000,100000,15847,84153,Y,D,Y
View,47643,CHENIERE FUEL GAS DEL CAMERON,01,100,40000,40000,0,40000,N,D,Y
View,49448,SPLIQ/KMLP SP LIQUEFACTION CAMERON,02,200,1700000,1700000,1295008,404992,N,D,Y
