seg_link,loc,loc_name,loc_zn,loc_seg,design,operating,tsq,oac,it,flow_ind,all_qty
View,44521,TGP/KMTP SHEPHERD SAN JACINTO,00,125,90000,90000,0,90000,N,BD,Y
View,47591,NG ADVAN/TGP TOWN OF PEMBROKE MERRI,06,284,7380,7380,1300,6080,N,D,Y
View,47592,HAMVIL/TGP VILLAGE OF HAMILTON NY M,05,241,3075,3075,87,2988,N,D,Y
View,47799,NMP/TGP GILLRINA ROAD NUECES,00,101,512500,512500,410663,101837,N,BD,Y
View,47859,BOSTN/TGP 261 CDP - BOSTON,06,261,0,53800,15401,38399,Y,D,Y
View,47860,BOSTN/TGP 267 CDP - BOSTON GAS,06,266,0,221886,35588,186298,N,D,Y
View,47861,BOSTN/TGP 268 CDP - BOSTON GAS,06,268,0,363095,20974,342121,N,D,Y
View,47872,ATMOS TL/TGP CHAUVIN OUACHITA,01,143,31775,31775,1477,30298,N,D,Y
View,48033,BBTBAMA/TGP FAYETTE VERNON LAMAR,01,548,30750,30750,30151,599,N,D,Y
View,48061,NRGBM/TGP BEIRNE HILL SALES BRADFOR,04,318,153750,153750,89100,64650,Y,D,Y
View,48150,66TH/TGP HANSCOM AIR FORCE BASE MID,06,268,5904,5904,1200,4704,N,D,Y
View,48741,CONSTGEN/TGP HANDSOME LAKE DELIVERY,04,300,61500,61500,200,61300,N,D,Y
View,48813,ATMOS TL/TGP GOODHOPE OUACHITA,01,143,30750,30750,0,30750,N,D,Y
View,48850,E OH GAS/TGP HOLMES TUSCARAWAS,04,212,497000,497000,0,497000,N,BD,Y
View,48923,DELTAMS/TGP EAST OXFORD CITY GATE L,01,847,35875,35875,801,35074,N,D,Y
View,48939,HERITAGE/TGP MT JACKSON SALES LAWRE,04,290,92250,92250,22000,70250,N,D,Y
View,49042,CP-UGC/TGP MOSSY OAKS DELIVERY HARR,00,117,61500,61500,0,61500,N,D,Y
View,49054,ATMOS-MS/TGP CARSON ROAD LOWNDES,01,542,33312,33312,13000,20312,N,D,Y
View,49198,CARROLL/TGP COUNTY HOME CARROLL,04,212,121975,121975,115000,6975,Y,D,Y
View,49274,CRANBERY/TGP BEECHFORK DELIVERY WAY,03,114,14165,14165,0,14165,N,D,Y
View,49446,CAM IPL/TGP BANKEN RD AT  HWY 27 DE,L,820,1076250,1076250,839150,237100,N,D,Y
View,49524,GULFSTH/TGP COASTAL BEND LNG WHARTO,00,109,643700,643700,92547,551153,N,BD,Y
View,49554,BBTMIDLA/TGP NORTH PEOPLES RD FRANK,01,834,51250,51250,1724,49526,N,D,Y
View,49756,NFG/TGP COLDEN INTERCONNECT ERIE,05,224,54491,128260,0,128260,N,BD,Y
View,49780,GULFSTH/TGP WORTHY ROAD SOUTH OUACH,01,143,346450,346450,0,346450,N,D,Y
View,49803,KMTEJAS/TGP JACKSON       (GANADO),00,109,220000,220000,207921,12079,N,D,Y
View,49858,LIBERTYU/TGP PELHAM SALES HILLSBORO,06,284,6150,6150,0,6150,N,D,Y
View,49861,CCCPL/TGP SINTON SAN PATRICIO,00,101,768750,768750,169489,599261,N,BD,Y
